"anon_id","category","correct","total","ratio","ratio_relative_to_overall","gender","overall_correct_pct"
865,"pop_music",17,35,0.485714,0.0612957,"Female",0.424419
865,"science",42,53,0.792453,0.368034,"Female",0.424419
865,"television",11,31,0.354839,-0.0695799,"Female",0.424419
865,"theatre",3,17,0.176471,-0.247948,"Female",0.424419
865,"world_hist",11,43,0.255814,-0.168605,"Female",0.424419
899,"amer_hist",57,74,0.77027,0.384059,"Male",0.386212
899,"art",25,79,0.316456,-0.0697558,"Male",0.386212
899,"bus_econ",31,58,0.534483,0.148271,"Male",0.386212
899,"class_music",19,56,0.339286,-0.0469258,"Male",0.386212
899,"curr_events",25,45,0.555556,0.169344,"Male",0.386212
899,"film",30,101,0.29703,-0.0891818,"Male",0.386212
899,"food_drink",28,80,0.35,-0.0362115,"Male",0.386212
899,"games_sport",48,101,0.475248,0.089036,"Male",0.386212
899,"geography",63,128,0.492188,0.105976,"Male",0.386212
899,"language",18,45,0.4,0.0137885,"Male",0.386212
899,"lifestyle",26,47,0.553191,0.16698,"Male",0.386212
899,"literature",35,124,0.282258,-0.103953,"Male",0.386212
899,"math",9,38,0.236842,-0.149369,"Male",0.386212
899,"pop_music",8,95,0.0842105,-0.302001,"Male",0.386212
899,"science",48,155,0.309677,-0.0765341,"Male",0.386212
899,"television",25,94,0.265957,-0.120254,"Male",0.386212
899,"theatre",14,48,0.291667,-0.0945448,"Male",0.386212
899,"world_hist",68,126,0.539683,0.153471,"Male",0.386212
971,"amer_hist",9,44,0.204545,-0.115967,"Male",0.320513
971,"art",7,44,0.159091,-0.161422,"Male",0.320513
971,"bus_econ",12,33,0.363636,0.0431235,"Male",0.320513
971,"class_music",13,32,0.40625,0.0857372,"Male",0.320513
971,"curr_events",16,24,0.666667,0.346154,"Male",0.320513
971,"film",11,58,0.189655,-0.130858,"Male",0.320513
971,"food_drink",16,49,0.326531,0.00601779,"Male",0.320513
971,"games_sport",8,56,0.142857,-0.177656,"Male",0.320513
971,"geography",41,74,0.554054,0.233541,"Male",0.320513
971,"language",16,24,0.666667,0.346154,"Male",0.320513
971,"lifestyle",6,27,0.222222,-0.0982906,"Male",0.320513
971,"literature",12,73,0.164384,-0.156129,"Male",0.320513
971,"math",13,22,0.590909,0.270396,"Male",0.320513
971,"pop_music",10,57,0.175439,-0.145074,"Male",0.320513
971,"science",36,88,0.409091,0.0885781,"Male",0.320513
971,"television",10,53,0.188679,-0.131834,"Male",0.320513
971,"theatre",2,29,0.0689655,-0.251547,"Male",0.320513
971,"world_hist",37,71,0.521127,0.200614,"Male",0.320513
1041,"amer_hist",121,195,0.620513,0.103281,"Male",0.517232
1041,"art",89,183,0.486339,-0.0308933,"Male",0.517232
1041,"bus_econ",59,144,0.409722,-0.10751,"Male",0.517232
1041,"class_music",43,133,0.323308,-0.193924,"Male",0.517232
1041,"curr_events",87,135,0.644444,0.127212,"Male",0.517232
1041,"film",139,258,0.53876,0.0215276,"Male",0.517232
1041,"food_drink",75,177,0.423729,-0.0935033,"Male",0.517232
1041,"games_sport",177,234,0.75641,0.239178,"Male",0.517232
1041,"geography",116,319,0.363636,-0.153596,"Male",0.517232
1041,"language",60,129,0.465116,-0.0521158,"Male",0.517232
1041,"lifestyle",76,142,0.535211,0.0179792,"Male",0.517232
1041,"literature",186,313,0.594249,0.0770171,"Male",0.517232
1041,"math",43,89,0.483146,-0.034086,"Male",0.517232
1041,"pop_music",123,240,0.5125,-0.00473209,"Male",0.517232
1041,"science",195,378,0.515873,-0.00135908,"Male",0.517232
1041,"television",149,237,0.628692,0.11146,"Male",0.517232
1041,"theatre",58,123,0.471545,-0.0456874,"Male",0.517232
1041,"world_hist",125,285,0.438596,-0.0786356,"Male",0.517232
1077,"amer_hist",14,29,0.482759,0.0480507,"Male",0.434708
1077,"art",11,31,0.354839,-0.0798692,"Male",0.434708
1077,"bus_econ",5,23,0.217391,-0.217317,"Male",0.434708
1077,"class_music",7,23,0.304348,-0.13036,"Male",0.434708
1077,"curr_events",6,17,0.352941,-0.0817667,"Male",0.434708
1077,"film",33,40,0.825,0.390292,"Male",0.434708
1077,"food_drink",11,34,0.323529,-0.111178,"Male",0.434708
1077,"games_sport",22,40,0.55,0.115292,"Male",0.434708
1077,"geography",9,52,0.173077,-0.261631,"Male",0.434708
1077,"language",3,16,0.1875,-0.247208,"Male",0.434708
1077,"lifestyle",7,19,0.368421,-0.0662869,"Male",0.434708
1077,"literature",29,48,0.604167,0.169459,"Male",0.434708
1077,"math",2,14,0.142857,-0.291851,"Male",0.434708
1077,"pop_music",34,38,0.894737,0.460029,"Male",0.434708
1077,"science",7,60,0.116667,-0.318041,"Male",0.434708
1077,"television",29,32,0.90625,0.471542,"Male",0.434708
1077,"theatre",11,18,0.611111,0.176403,"Male",0.434708
1077,"world_hist",13,48,0.270833,-0.163875,"Male",0.434708
1092,"amer_hist",21,41,0.512195,0.00739896,"Male",0.504796
1092,"art",19,44,0.431818,-0.072978,"Male",0.504796
1092,"bus_econ",10,32,0.3125,-0.192296,"Male",0.504796
1092,"class_music",7,32,0.21875,-0.286046,"Male",0.504796
1092,"curr_events",10,24,0.416667,-0.0881295,"Male",0.504796
1092,"film",41,54,0.759259,0.254463,"Male",0.504796
1092,"food_drink",35,48,0.729167,0.224371,"Male",0.504796
1092,"games_sport",23,55,0.418182,-0.0866143,"Male",0.504796
1092,"geography",16,72,0.222222,-0.282574,"Male",0.504796
1092,"language",10,23,0.434783,-0.0700136,"Male",0.504796
1092,"lifestyle",14,25,0.56,0.0552038,"Male",0.504796
1092,"literature",45,70,0.642857,0.138061,"Male",0.504796
1092,"math",11,22,0.5,-0.00479616,"Male",0.504796
1092,"pop_music",37,57,0.649123,0.144327,"Male",0.504796
1092,"science",39,84,0.464286,-0.0405104,"Male",0.504796
1092,"television",43,52,0.826923,0.322127,"Male",0.504796
1092,"theatre",13,29,0.448276,-0.0565203,"Male",0.504796
1092,"world_hist",27,70,0.385714,-0.119082,"Male",0.504796
1125,"amer_hist",10,37,0.27027,0.0283348,"Male",0.241935
1125,"art",3,38,0.0789474,-0.162988,"Male",0.241935
1125,"bus_econ",5,28,0.178571,-0.0633641,"Male",0.241935
1125,"class_music",2,28,0.0714286,-0.170507,"Male",0.241935
1125,"curr_events",9,22,0.409091,0.167155,"Male",0.241935
1125,"film",11,51,0.215686,-0.0262492,"Male",0.241935
1125,"food_drink",19,44,0.431818,0.189883,"Male",0.241935
1125,"games_sport",18,51,0.352941,0.111006,"Male",0.241935
1125,"geography",8,66,0.121212,-0.120723,"Male",0.241935
1125,"language",2,20,0.1,-0.141935,"Male",0.241935
1125,"lifestyle",6,24,0.25,0.00806452,"Male",0.241935
1125,"literature",12,64,0.1875,-0.0544355,"Male",0.241935
1125,"math",14,19,0.736842,0.494907,"Male",0.241935
1125,"pop_music",8,47,0.170213,-0.0717227,"Male",0.241935
1125,"science",24,76,0.315789,0.073854,"Male",0.241935
1125,"television",17,44,0.386364,0.144428,"Male",0.241935
1125,"theatre",2,24,0.0833333,-0.158602,"Male",0.241935
1125,"world_hist",10,61,0.163934,-0.0780011,"Male",0.241935
1228,"amer_hist",4,23,0.173913,0.0161353,"Male",0.157778
1228,"art",1,22,0.0454545,-0.112323,"Male",0.157778
1228,"bus_econ",5,18,0.277778,0.12,"Male",0.157778
1228,"class_music",0,17,0,-0.157778,"Male",0.157778
1228,"curr_events",1,14,0.0714286,-0.0863492,"Male",0.157778
1228,"film",1,32,0.03125,-0.126528,"Male",0.157778
1228,"food_drink",7,29,0.241379,0.0836015,"Male",0.157778
1228,"games_sport",7,32,0.21875,0.0609722,"Male",0.157778
1228,"geography",7,41,0.170732,0.0129539,"Male",0.157778
1228,"language",1,12,0.0833333,-0.0744444,"Male",0.157778
1228,"lifestyle",5,14,0.357143,0.199365,"Male",0.157778
1228,"literature",5,37,0.135135,-0.0226426,"Male",0.157778
1228,"math",2,11,0.181818,0.0240404,"Male",0.157778
1228,"pop_music",3,29,0.103448,-0.0543295,"Male",0.157778
1228,"science",8,44,0.181818,0.0240404,"Male",0.157778
1228,"television",9,24,0.375,0.217222,"Male",0.157778
1228,"theatre",5,14,0.357143,0.199365,"Male",0.157778
1228,"world_hist",0,37,0,-0.157778,"Male",0.157778
1249,"amer_hist",9,27,0.333333,0.0434028,"Male",0.289931
1249,"art",4,30,0.133333,-0.156597,"Male",0.289931
1249,"bus_econ",3,23,0.130435,-0.159496,"Male",0.289931
1249,"class_music",4,21,0.190476,-0.0994544,"Male",0.289931
1249,"curr_events",7,15,0.466667,0.176736,"Male",0.289931
1249,"film",12,42,0.285714,-0.00421627,"Male",0.289931
1249,"food_drink",13,35,0.371429,0.081498,"Male",0.289931
1249,"games_sport",10,40,0.25,-0.0399306,"Male",0.289931
1249,"geography",18,51,0.352941,0.0630106,"Male",0.289931
1249,"language",5,16,0.3125,0.0225694,"Male",0.289931
1249,"lifestyle",6,18,0.333333,0.0434028,"Male",0.289931
1249,"literature",10,49,0.204082,-0.0858489,"Male",0.289931
1249,"math",3,14,0.214286,-0.0756448,"Male",0.289931
1249,"pop_music",8,36,0.222222,-0.0677083,"Male",0.289931
1249,"science",24,59,0.40678,0.116849,"Male",0.289931
1249,"television",9,32,0.28125,-0.00868056,"Male",0.289931
1249,"theatre",3,18,0.166667,-0.123264,"Male",0.289931
1249,"world_hist",19,50,0.38,0.0900694,"Male",0.289931
1341,"amer_hist",27,50,0.54,0.0710078,"Female",0.468992
